wals code	name	latitude	longitude	genus	family	subfamily	iso codes
ndy	Ndyuka	5	-54.5	Creoles and Pidgins	other		djk
ned	Nederlandse Gebarentaal	52.25	5.5	Sign Languages	other		dse
neg	Negidal	53	139	Tungusic	Altaic		neg
neh	Nehan	-4.5	154.2	Oceanic	Austronesian	Eastern Malayo-Polynesian	nsn
nel	Nelemwa	-20.25	164.083333333	Oceanic	Austronesian	Eastern Malayo-Polynesian	nee
nen	Nenets	69	72	Samoyedic	Uralic		yrk
nep	Nepali	28	85	Indic	Indo-European		nep
nev	Nevome	31	-112.5	Tepiman	Uto-Aztecan		ood
new	Newari (Kathmandu)	27.6666666667	85.5	Bodic	Sino-Tibetan	Tibeto-Burman	new
nez	Nez Perce	46	-116	Sahaptian	Penutian		nez
nga	Nganasan	71	93	Samoyedic	Uralic		nio
ngb	Ngbaka	3.5	20	Ubangi	Niger-Congo	Adamawa-Ubangi	nga
ngd	Ngad'a	-8.83333333333	121	Central Malayo-Polynesian	Austronesian		nxg
nge	Ngemba	6.2	10	Bantoid	Niger-Congo	Benue-Congo	nge
ngg	Ngan'gityemerri	-14.25	130.416666667	Southern Daly	Australian	Daly	nam
ngi	Ngiyambaa	-31.75	145.5	Pama-Nyungan	Australian		wyb
ngj	Ngadjumaja	-32.3333333333	123.833333333	Pama-Nyungan	Australian		nju
ngk	Ngankikurungkurr	-14	130.5	Southern Daly	Australian	Daly	nam
ngl	Ngalakan	-14.25	134	Ngalakan	Australian	Gunwinyguan	nig
ngm	Ngambay	8.66666666667	16	Bongo-Bagirmi	Nilo-Saharan	Central Sudanic	sba
ngn	Ngandi	-13.8333333333	135	Ngandi	Australian	Gunwinyguan	nid
ngo	Ngoni	-11	36	Bantoid	Niger-Congo	Benue-Congo	ngo
ngr	Ngarinyeri	-36	140	Pama-Nyungan	Australian		nay
ngt	Naga (Tangkhul)	25	94.5	Kuki-Chin-Naga	Sino-Tibetan	Tibeto-Burman	nmf
ngu	Nguna	-16.9166666667	168.5	Oceanic	Austronesian	Eastern Malayo-Polynesian	llp
ngw	Ngawun	-19	141.5	Pama-Nyungan	Australian		nxn
ngy	Ngarinyman	-16.5	130.5	Pama-Nyungan	Australian		nbj
ngz	Ngizim	12.0833333333	10.9166666667	West Chadic	Afro-Asiatic	Chadic	ngi
nha	Nhanda	-27	114.166666667	Pama-Nyungan	Australian		
nhc	Nahuatl (Central)	19	-98.25	Aztecan	Uto-Aztecan		nhn
nhh	Nahuatl (Huasteca)	22	-99	Aztecan	Uto-Aztecan		nhe nhw
nhm	Nahuatl (Michoacán)	18.5	-103	Aztecan	Uto-Aztecan		ncl
